# Fix print output for fix extra
0 600 0 -18.4702269128633 -18.4703165729594 8.96600960768711e-05 -15958.2760527139 -15958.3535190369 0.0774663230104167 -38672.0309917809
0.01 583.388994672874 0 -18.4702269126968 -18.4703140905523 8.71778555209319e-05 -15958.27605257 -15958.3513742372 0.0753216671700851 -37350.7528472258
0.02 535.701951937633 0 -18.4702269121301 -18.4703069639442 8.00518141321594e-05 -15958.2760520804 -15958.3452168478 0.0691647674101857 -33610.3047712204
0.03 463.720917653082 0 -18.4702269111195 -18.4702962065562 6.92954367160503e-05 -15958.2760512073 -15958.3359224646 0.0598712573226674 -28089.7639274807
0.04 379.000937242852 0 -18.4702269097454 -18.4702835451795 5.66354340773639e-05 -15958.27605002 -15958.3249830351 0.0489330150428424 -21735.7672662785
0.05 296.624223186592 0 -18.4702269083278 -18.4702712339217 4.43255939160619e-05 -15958.2760487952 -15958.3143461083 0.0382973131434775 -15622.4593110535
0.06 231.72615899018 0 -18.4702269073507 -18.4702615350001 3.46276494643065e-05 -15958.276047951 -15958.3059662401 0.0299182891371608 -10706.1764730216
0.07 194.607202578272 0 -18.4702269071988 -18.4702559880329 2.90808341340317e-05 -15958.2760478197 -15958.3011736604 0.0251258406918034 -7579.85937002392
0.08 186.986999518984 0 -18.470226907891 -18.4702548500116 2.79421205699966e-05 -15958.2760484178 -15958.30019041 0.0241419921724771 -6333.12432121041
0.09 201.878035234772 0 -18.4702269090614 -18.4702570764015 3.01673400582661e-05 -15958.2760494291 -15958.3021140109 0.0260645818103419 -6576.85421690353
0.1 227.230240113388 0 -18.4702269102038 -18.4702608660124 3.39558086002282e-05 -15958.276050416 -15958.3053882347 0.0293378186305971 -7633.63173201912
0.11 251.0550967054 0 -18.4702269109409 -18.470264426981 3.75160401519906e-05 -15958.2760510529 -15958.3084649116 0.0324138586913198 -8796.72762172539
