# Fix print output for fix extra
0 600 29011.3125154143 -62.3583589708999 -62.3586607409527 0.000301770052871704 -15963.7398965504 -15963.8171496839 0.0772531335351563 458883.664536339
0.01 576.419299701682 29011.3125154143 -62.3583589695018 -62.3586488796393 0.000289910137578745 -15963.7398961925 -15963.8141131877 0.0742169952201588 459969.460366778
0.02 510.446328149329 29011.3125154143 -62.3583589652474 -62.3586156942731 0.000256729025722984 -15963.7398951033 -15963.8056177339 0.0657226305850839 462982.89552847
0.03 416.074004083863 29011.3125154143 -62.3583589586985 -62.3585682231555 0.000209264457018215 -15963.7398934268 -15963.7934651278 0.053571700996663 467240.726794751
0.04 314.401683624941 29011.3125154143 -62.3583589512996 -62.3585170796541 0.000158128354484085 -15963.7398915327 -15963.7803723915 0.0404808587479258 471818.264432678
0.05 228.655177175326 29011.3125154143 -62.3583589455685 -62.35847394771 0.000115002141509312 -15963.7398900655 -15963.7693306138 0.0294405482263838 475756.863782398
0.06 176.665112051883 29011.3125154143 -62.3583589436398 -62.3584477973734 8.8853733674137e-05 -15963.7398895718 -15963.7626361276 0.0227465558205791 478312.692223181
0.07 164.487639596947 29011.3125154143 -62.3583589460435 -62.3584416751164 8.27290728298542e-05 -15963.7398901871 -15963.7610688298 0.0211786426444427 479243.702205733
0.08 184.928925338133 29011.3125154143 -62.3583589512927 -62.358451961312 9.30100192946596e-05 -15963.7398915309 -15963.7637020959 0.0238105649394329 478830.622906739
0.09 221.913209754232 29011.3125154143 -62.3583589569395 -62.3584705682079 0.000111611268400774 -15963.7398929765 -15963.7684654612 0.0285724847105981 477675.09069816
0.1 257.884047482648 29011.3125154143 -62.3583589608901 -62.3584886636945 0.000129702804406013 -15963.7398939879 -15963.7730979058 0.0332039179279393 476458.965054572
0.11 280.279496096427 29011.3125154143 -62.3583589621897 -62.358499928787 0.000140966597259789 -15963.7398943206 -15963.7759817695 0.036087448898506 475694.736746381
